District,Crop,Avg Rainfall (mm),Typical Soil,Status,Reason
Vijayapura (Bijapur),rice,236.2,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 236.2mm)"
Vijayapura (Bijapur),maize,84.8,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 84.8mm)"
Vijayapura (Bijapur),chickpea,80.1,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 80.1mm)"
Vijayapura (Bijapur),kidneybeans,105.9,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 105.9mm)"
Vijayapura (Bijapur),pigeonpeas,149.5,black soil,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 149.5mm)"
Vijayapura (Bijapur),mothbeans,51.2,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 51.2mm)"
Vijayapura (Bijapur),mungbean,48.4,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 48.4mm)"
Vijayapura (Bijapur),blackgram,67.9,clay loam,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 67.9mm)"
Vijayapura (Bijapur),lentil,45.7,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 45.7mm)"
Vijayapura (Bijapur),pomegranate,107.5,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 107.5mm)"
Vijayapura (Bijapur),banana,104.6,alluvial soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Vijayapura (Bijapur),mango,94.7,red soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Vijayapura (Bijapur),grapes,69.6,black soil,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 69.6mm)"
Vijayapura (Bijapur),watermelon,50.8,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 50.8mm)"
Vijayapura (Bijapur),muskmelon,24.7,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 24.7mm)"
Vijayapura (Bijapur),apple,112.7,silty soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Vijayapura (Bijapur),orange,110.5,laterite soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Vijayapura (Bijapur),papaya,142.6,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 142.6mm)"
Vijayapura (Bijapur),coconut,175.7,alluvial soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Vijayapura (Bijapur),cotton,80.4,black soil,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 80.4mm)"
Vijayapura (Bijapur),jute,174.8,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 800)mm, Avg 174.8mm)"
Vijayapura (Bijapur),coffee,158.1,red soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Belagavi (Belgaum),rice,236.2,alluvial soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 236.2mm)"
Belagavi (Belgaum),maize,84.8,loamy soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 84.8mm)"
Belagavi (Belgaum),chickpea,80.1,sandy loam,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 80.1mm)"
Belagavi (Belgaum),kidneybeans,105.9,loamy soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 105.9mm)"
Belagavi (Belgaum),pigeonpeas,149.5,black soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 149.5mm)"
Belagavi (Belgaum),mothbeans,51.2,sandy soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 51.2mm)"
Belagavi (Belgaum),mungbean,48.4,loamy soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 48.4mm)"
Belagavi (Belgaum),blackgram,67.9,clay loam,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 67.9mm)"
Belagavi (Belgaum),lentil,45.7,sandy loam,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 45.7mm)"
Belagavi (Belgaum),pomegranate,107.5,sandy loam,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 107.5mm)"
Belagavi (Belgaum),banana,104.6,alluvial soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 104.6mm)"
Belagavi (Belgaum),mango,94.7,red soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 94.7mm)"
Belagavi (Belgaum),grapes,69.6,black soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 69.6mm)"
Belagavi (Belgaum),watermelon,50.8,sandy loam,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 50.8mm)"
Belagavi (Belgaum),muskmelon,24.7,sandy soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 24.7mm)"
Belagavi (Belgaum),apple,112.7,silty soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 112.7mm)"
Belagavi (Belgaum),orange,110.5,laterite soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 110.5mm)"
Belagavi (Belgaum),papaya,142.6,sandy loam,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 142.6mm)"
Belagavi (Belgaum),coconut,175.7,alluvial soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 175.7mm)"
Belagavi (Belgaum),cotton,80.4,black soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 80.4mm)"
Belagavi (Belgaum),jute,174.8,alluvial soil,Warning,"Rainfall Mismatch (Needs (600, 1200)mm, Avg 174.8mm)"
Belagavi (Belgaum),coffee,158.1,red soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Bagalkot,rice,236.2,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 236.2mm)"
Bagalkot,maize,84.8,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 84.8mm)"
Bagalkot,chickpea,80.1,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 80.1mm)"
Bagalkot,kidneybeans,105.9,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 105.9mm)"
Bagalkot,pigeonpeas,149.5,black soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 149.5mm)"
Bagalkot,mothbeans,51.2,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 51.2mm)"
Bagalkot,mungbean,48.4,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 48.4mm)"
Bagalkot,blackgram,67.9,clay loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 67.9mm)"
Bagalkot,lentil,45.7,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 45.7mm)"
Bagalkot,pomegranate,107.5,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 107.5mm)"
Bagalkot,banana,104.6,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 104.6mm)"
Bagalkot,mango,94.7,red soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 94.7mm)"
Bagalkot,grapes,69.6,black soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 69.6mm)"
Bagalkot,watermelon,50.8,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 50.8mm)"
Bagalkot,muskmelon,24.7,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 24.7mm)"
Bagalkot,apple,112.7,silty soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 112.7mm)"
Bagalkot,orange,110.5,laterite soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 110.5mm)"
Bagalkot,papaya,142.6,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 142.6mm)"
Bagalkot,coconut,175.7,alluvial soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Bagalkot,cotton,80.4,black soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 80.4mm)"
Bagalkot,jute,174.8,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 174.8mm)"
Bagalkot,coffee,158.1,red soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Haveri,rice,236.2,alluvial soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 236.2mm)"
Haveri,maize,84.8,loamy soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 84.8mm)"
Haveri,chickpea,80.1,sandy loam,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 80.1mm)"
Haveri,kidneybeans,105.9,loamy soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 105.9mm)"
Haveri,pigeonpeas,149.5,black soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 149.5mm)"
Haveri,mothbeans,51.2,sandy soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 51.2mm)"
Haveri,mungbean,48.4,loamy soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 48.4mm)"
Haveri,blackgram,67.9,clay loam,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 67.9mm)"
Haveri,lentil,45.7,sandy loam,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 45.7mm)"
Haveri,pomegranate,107.5,sandy loam,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 107.5mm)"
Haveri,banana,104.6,alluvial soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 104.6mm)"
Haveri,mango,94.7,red soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 94.7mm)"
Haveri,grapes,69.6,black soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 69.6mm)"
Haveri,watermelon,50.8,sandy loam,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 50.8mm)"
Haveri,muskmelon,24.7,sandy soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 24.7mm)"
Haveri,apple,112.7,silty soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 112.7mm)"
Haveri,orange,110.5,laterite soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 110.5mm)"
Haveri,papaya,142.6,sandy loam,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 142.6mm)"
Haveri,coconut,175.7,alluvial soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 175.7mm)"
Haveri,cotton,80.4,black soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 80.4mm)"
Haveri,jute,174.8,alluvial soil,Warning,"Rainfall Mismatch (Needs (500, 900)mm, Avg 174.8mm)"
Haveri,coffee,158.1,red soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Gadag,rice,236.2,alluvial soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Gadag,maize,84.8,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 84.8mm)"
Gadag,chickpea,80.1,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 80.1mm)"
Gadag,kidneybeans,105.9,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 105.9mm)"
Gadag,pigeonpeas,149.5,black soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 149.5mm)"
Gadag,mothbeans,51.2,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 51.2mm)"
Gadag,mungbean,48.4,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 48.4mm)"
Gadag,blackgram,67.9,clay loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 67.9mm)"
Gadag,lentil,45.7,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 45.7mm)"
Gadag,pomegranate,107.5,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 107.5mm)"
Gadag,banana,104.6,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 104.6mm)"
Gadag,mango,94.7,red soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 94.7mm)"
Gadag,grapes,69.6,black soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 69.6mm)"
Gadag,watermelon,50.8,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 50.8mm)"
